0|||4|||0
1|||4|||2
2|||5|||4
3|||5|||3
4|||6|||4
5|||6|||5
6|||2|||2
7|||2|||2
8|||3|||2
9|||3|||0
10|||3|||3
11|||1|||0
12|||3|||0
13|||3|||3
14|||3|||0
15|||5|||1
16|||5|||4
17|||5|||5
18|||5|||4
19|||5|||5
20|||3|||1
21|||5|||0
22|||5|||2
23|||5|||4
24|||2|||0
25|||4|||3
26|||4|||0
27|||4|||4
28|||18|||17
29|||18|||15
30|||4|||0
31|||2|||0
32|||2|||2
33|||2|||0
34|||2|||2
35|||4|||4
36|||4|||4
37|||3|||2
38|||3|||3
39|||3|||0
40|||3|||3
41|||2|||0
42|||2|||2
43|||2|||0
44|||2|||2
45|||4|||3
46|||4|||4
47|||2|||0
48|||3|||2
49|||3|||3
50|||2|||0
51|||2|||2
52|||1|||0
53|||3|||0
54|||3|||2
55|||5|||3
56|||9|||9
57|||9|||7
58|||9|||9
59|||9|||8
60|||9|||9
61|||9|||8
62|||9|||9
63|||3|||1
64|||3|||3
65|||6|||4
66|||6|||5
67|||6|||6
68|||6|||6
69|||5|||4
70|||5|||5
71|||2|||0
72|||2|||2
73|||3|||0
74|||4|||0
75|||4|||2
76|||4|||3
77|||3|||2
78|||3|||3
79|||2|||1
80|||6|||4
81|||6|||5
82|||5|||2
83|||5|||5
84|||4|||0
85|||4|||3
86|||1|||0
87|||1|||1
88|||1|||1
89|||4|||0
90|||1|||0
91|||1|||0
92|||2|||0
93|||2|||2
94|||8|||8
95|||8|||7
96|||8|||8
97|||4|||3
98|||4|||4
99|||4|||3
100|||5|||0
101|||3|||0
102|||3|||2
103|||8|||5
104|||8|||8
105|||3|||1
106|||3|||0
107|||3|||2
108|||1|||0
109|||2|||0
110|||2|||2
111|||10|||10
112|||1|||0
113|||1|||0
114|||1|||0
115|||1|||0
116|||1|||1
117|||1|||1
118|||15|||14
119|||15|||12
120|||15|||13
121|||15|||14
122|||15|||13
123|||1|||0
124|||3|||0
125|||3|||3
126|||3|||3
127|||3|||3
128|||3|||0
129|||3|||2
130|||7|||7
131|||7|||5
132|||7|||5
133|||7|||6
134|||9|||9
135|||9|||7
136|||9|||8
137|||9|||9
138|||4|||0
139|||1|||0
140|||6|||4
141|||6|||6
142|||6|||6
143|||6|||5
144|||6|||6
145|||6|||4
146|||6|||5
147|||2|||0
148|||2|||2
149|||2|||2
150|||2|||0
151|||2|||0
152|||2|||2
153|||3|||3
154|||3|||2
155|||3|||3
156|||3|||2
157|||3|||3
158|||3|||3
159|||3|||3
160|||2|||0
161|||2|||2
162|||7|||5
163|||7|||6
164|||6|||0
165|||6|||1
166|||6|||3
167|||2|||0
168|||3|||2
169|||3|||3
170|||3|||2
171|||4|||2
172|||4|||3
173|||11|||11
174|||11|||11
175|||11|||10
176|||2|||0
177|||4|||4
178|||4|||4
179|||4|||4
180|||10|||9
181|||10|||10
182|||10|||10
